mean_isf,std_isf,grain_size,YS
127,39,0.252,168.75
127,39,0.252,157.5
127,39,0.252,165
127,39,0.5,170
127,39,0.5,172.5
127,39,0.5,176.25
127,39,1,187.5
127,39,1,180
127,39,1,195
127,39,2,187.5
127,39,2,191.25
127,39,2,198.75
127,39,3.19,195
127,39,3.19,185
127,39,3.19,182.25
127,39,5.82,168.75
127,39,5.82,153.75
127,39,5.82,161.25
127,39,11.27,161.25
72,39,0.252,285
72,39,0.252,281.25
72,39,0.252,285
72,39,0.5,315
72,39,0.5,322.5
72,39,0.5,318.75
72,39,1,330
72,39,1,327.5
72,39,1,337.5
72,39,2,327.5
72,39,2,328.5
72,39,2,330
72,39,3.19,332.5
72,39,3.19,345
72,39,3.19,330
72,39,5.82,292.5
72,39,5.82,308
72,39,5.82,285
72,39,11.27,304.5
84.7,39,0.252,247.5
84.7,39,0.252,243.75
84.7,39,0.252,242
84.7,39,0.5,288.5
84.7,39,0.5,285
84.7,39,0.5,282
84.7,39,1,285
84.7,39,1,280
84.7,39,1,292.5
84.7,39,2,292.5
84.7,39,2,282
84.7,39,2,300
84.7,39,3.19,292.5
84.7,39,3.19,280
84.7,39,3.19,285
84.7,39,5.82,265
84.7,39,5.82,262.5
84.7,39,5.82,250
84.7,39,11.27,258
35,12,0.252,427.5
35,12,0.252,431.25
35,12,0.252,423.75
35,12,0.5,431.25
35,12,0.5,435
35,12,0.5,431.25
35,12,1,442.5
35,12,1,435
35,12,1,442.5
35,12,2,450
35,12,2,453.75
35,12,2,446.25
35,12,3.19,453.75
35,12,3.19,450
35,12,3.19,457.5
35,12,4.5,457.5
35,12,4.5,461.25
35,12,4.5,465
35,12,5.82,457.5
35,12,5.82,465
35,12,5.82,457.5
35,12,8,442.5
35,12,8,442.5
35,12,8,435
35,12,11.27,438.75
35,12,11.27,427.5
