mean_isf,std_isf,grain_size,YS
127,39,0.252,168.75
127,39,0.252,157.5
127,39,0.252,165
127,39,0.5,170
127,39,0.5,172.5
127,39,0.5,176.25
127,39,1,187.5
127,39,1,180
127,39,1,195
127,39,2,187.5
127,39,2,191.25
127,39,2,198.75
127,39,3.19,195
127,39,3.19,185
127,39,3.19,182.25
127,39,5.82,168.75
127,39,5.82,153.75
127,39,5.82,161.25
127,39,11.27,161.25
72,39,0.252,285
72,39,0.252,281.25
72,39,0.252,285
72,39,0.5,315
72,39,0.5,322.5
72,39,0.5,318.75
72,39,1,330
72,39,1,327.5
72,39,1,337.5
72,39,2,327.5
72,39,2,328.5
72,39,2,330
72,39,3.19,332.5
72,39,3.19,345
72,39,3.19,330
72,39,5.82,292.5
72,39,5.82,308
72,39,5.82,285
72,39,11.27,304.5
84.7,39,0.252,247.5
84.7,39,0.252,243.75
84.7,39,0.252,242
84.7,39,0.5,288.5
84.7,39,0.5,285
84.7,39,0.5,282
84.7,39,1,285
84.7,39,1,280
84.7,39,1,292.5
84.7,39,2,292.5
84.7,39,2,282
84.7,39,2,300
84.7,39,3.19,292.5
84.7,39,3.19,280
84.7,39,3.19,285
84.7,39,5.82,265
84.7,39,5.82,262.5
84.7,39,5.82,250
84.7,39,11.27,258
34.735934,12.129328,0.25,427.5
34.691056,12.215075,0.25,431.25
34.800938,12.209529,0.25,423.75
34.767628,12.333353,0.5,431.25
34.675248,12.330628,0.5,435
34.712384,12.235677,0.5,431.25
34.641499,12.39468,1,442.5
34.912383,12.172614,1,435
34.718704,12.132494,1,442.5
34.651749,12.449398,2,450
34.107305,12.173909,2,453.75
34.813527,12.423315,2,446.25
34.731578,11.75156,3,453.75
34.896575,11.517385,3,450
34.216954,12.24544,3,457.5
35.177024,12.524674,4.5,457.5
34.686442,12.182497,4.5,461.25
34.554237,10.858567,4.5,465
35.115821,13.325241,6,457.5
33.901799,12.689169,6,465
35.147825,14.097069,6,457.5
34.3679,12.517624,8,442.5
34.378422,9.027342,8,442.5
34.986771,11.739599,8,435
33.283742,10.016279,11,438.75
36.979503,12.912087,11,427.5
